GEOID,County Name,State,state,county,GDPpercapita_fill,Population Estimate Fill,bea_geofips_used,bea_geoname_used,gdp_2021_thousands,state_key,county_key,fill_note
09001,fairfield,connecticut,Connecticut,Fairfield,102891.27164064648,959768.0,09001,"Fairfield, CT",98751750.0,connecticut,fairfield,
09003,hartford,connecticut,Connecticut,Hartford,99799.19474072703,896854.0,09003,"Hartford, CT",89505307.0,connecticut,hartford,
09005,litchfield,connecticut,Connecticut,Litchfield,50579.36216216216,185000.0,09005,"Litchfield, CT",9357182.0,connecticut,litchfield,
09007,middlesex,connecticut,Connecticut,Middlesex,64640.04394297125,164759.0,09007,"Middlesex, CT",10650029.0,connecticut,middlesex,
09009,new haven,connecticut,Connecticut,New Haven,66621.74481880282,863700.0,09009,"New Haven, CT",57541201.0,connecticut,new haven,
09011,new london,connecticut,Connecticut,New London,77167.63825077658,268805.0,09011,"New London, CT",20743047.0,connecticut,new london,
09013,tolland,connecticut,Connecticut,Tolland,42266.00706619736,150293.0,09013,"Tolland, CT",6352285.0,connecticut,tolland,
09015,windham,connecticut,Connecticut,Windham,47195.2103626587,116418.0,09015,"Windham, CT",5494372.0,connecticut,windham,
51003,albemarle,virginia,Virginia,Albemarle,85590.96019647377,159207.0,51901,"Albemarle + Charlottesville, VA*",13626680.0,virginia,albemarle,
51005,alleghany,virginia,Virginia,Alleghany,44485.48519538231,20703.0,51903,"Alleghany + Covington, VA*",920983.0,virginia,alleghany,
51015,augusta,virginia,Virginia,Augusta,46639.05099623134,125774.0,51907,"Augusta, Staunton + Waynesboro, VA*",5865980.0,virginia,augusta,
51031,campbell,virginia,Virginia,Campbell,59097.41935004201,134501.0,51911,"Campbell + Lynchburg, VA*",7948662.0,virginia,campbell,
51035,carroll,virginia,Virginia,Carroll,29486.501624285873,35708.0,51913,"Carroll + Galax, VA*",1052904.0,virginia,carroll,
51053,dinwiddie,virginia,Virginia,Dinwiddie,40995.74195493255,79614.0,51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",3263835.0,virginia,dinwiddie,
51059,fairfax,virginia,Virginia,Fairfax,116836.45328891488,1178489.0,51919,"Fairfax, Fairfax City + Falls Church, VA*",137690475.0,virginia,fairfax,
51069,frederick,virginia,Virginia,Frederick,65114.334484994215,121853.0,51921,"Frederick + Winchester, VA*",7934377.0,virginia,frederick,
51081,greensville,virginia,Virginia,Greensville,106113.89148737138,17104.0,51923,"Greensville + Emporia, VA*",1814972.0,virginia,greensville,
51089,henry,virginia,Virginia,Henry,42254.74790245432,63765.0,51929,"Henry + Martinsville, VA*",2694374.0,virginia,henry,
51095,james city,virginia,Virginia,James City,68003.41461370874,95472.0,51931,"James City + Williamsburg, VA*",6492422.0,virginia,james,
51121,montgomery,virginia,Virginia,Montgomery,52669.71958389869,114972.0,51933,"Montgomery + Radford, VA*",6055543.0,virginia,montgomery,
51143,pittsylvania,virginia,Virginia,Pittsylvania,38725.092232867195,102187.0,51939,"Pittsylvania + Danville, VA*",3957201.0,virginia,pittsylvania,
51149,prince george,virginia,Virginia,Prince George,66445.27415934566,66020.0,51941,"Prince George + Hopewell, VA*",4386717.0,virginia,prince george,
51153,prince william,virginia,Virginia,Prince William,45415.32612251049,544182.0,51942,"Prince William, Manassas + Manassas Park, VA*",24714203.0,virginia,prince william,
51161,roanoke,virginia,Virginia,Roanoke,55451.17331627885,121962.0,51944,"Roanoke + Salem, VA*",6762936.0,virginia,roanoke,
51163,rockbridge,virginia,Virginia,Rockbridge,40153.87759550929,36698.0,51945,"Rockbridge, Buena Vista + Lexington, VA*",1473567.0,virginia,rockbridge,
51165,rockingham,virginia,Virginia,Rockingham,69939.34797973848,135824.0,51947,"Rockingham + Harrisonburg, VA*",9499442.0,virginia,rockingham,
51175,southampton,virginia,Virginia,Southampton,34332.72318193952,26223.0,51949,"Southampton + Franklin, VA*",900307.0,virginia,southampton,
51177,spotsylvania,virginia,Virginia,Spotsylvania,42634.852914678304,172043.0,51951,"Spotsylvania + Fredericksburg, VA*",7335028.0,virginia,spotsylvania,
51191,washington,virginia,Virginia,Washington,55101.35947601466,70689.0,51953,"Washington + Bristol, VA*",3895060.0,virginia,washington,
51195,wise,virginia,Virginia,Wise,41447.15488515249,39313.0,51955,"Wise + Norton, VA*",1629412.0,virginia,wise,
51199,york,virginia,Virginia,York,37195.76231599372,83489.0,51958,"York + Poquoson, VA*",3105437.0,virginia,york,
51520,bristol city,virginia,Virginia,Bristol City,55101.35947601466,70689.0,51953,"Washington + Bristol, VA*",3895060.0,virginia,bristol,
51530,buena vista city,virginia,Virginia,Buena Vista City,40153.87759550929,36698.0,51945,"Rockbridge, Buena Vista + Lexington, VA*",1473567.0,virginia,buena vista,
51540,charlottesville city,virginia,Virginia,Charlottesville City,85590.96019647377,159207.0,51901,"Albemarle + Charlottesville, VA*",13626680.0,virginia,charlottesville,
51570,colonial heights city,virginia,Virginia,Colonial Heights City,40995.74195493255,79614.0,51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",3263835.0,virginia,colonial heights,
51580,covington city,virginia,Virginia,Covington City,44485.48519538231,20703.0,51903,"Alleghany + Covington, VA*",920983.0,virginia,covington,
51590,danville city,virginia,Virginia,Danville City,38725.092232867195,102187.0,51939,"Pittsylvania + Danville, VA*",3957201.0,virginia,danville,
51595,emporia city,virginia,Virginia,Emporia City,106113.89148737138,17104.0,51923,"Greensville + Emporia, VA*",1814972.0,virginia,emporia,
51600,fairfax city,virginia,Virginia,Fairfax City,116836.45328891488,1178489.0,51919,"Fairfax, Fairfax City + Falls Church, VA*",137690475.0,virginia,fairfax,
51610,falls church city,virginia,Virginia,Falls Church City,116836.45328891488,1178489.0,51919,"Fairfax, Fairfax City + Falls Church, VA*",137690475.0,virginia,falls church,
51620,franklin city,virginia,Virginia,Franklin City,34332.72318193952,26223.0,51949,"Southampton + Franklin, VA*",900307.0,virginia,franklin,
51630,fredericksburg city,virginia,Virginia,Fredericksburg City,42634.852914678304,172043.0,51951,"Spotsylvania + Fredericksburg, VA*",7335028.0,virginia,fredericksburg,
51640,galax city,virginia,Virginia,Galax City,29486.501624285873,35708.0,51913,"Carroll + Galax, VA*",1052904.0,virginia,galax,
51660,harrisonburg city,virginia,Virginia,Harrisonburg City,69939.34797973848,135824.0,51947,"Rockingham + Harrisonburg, VA*",9499442.0,virginia,harrisonburg,
51670,hopewell city,virginia,Virginia,Hopewell City,66445.27415934566,66020.0,51941,"Prince George + Hopewell, VA*",4386717.0,virginia,hopewell,
51678,lexington city,virginia,Virginia,Lexington City,40153.87759550929,36698.0,51945,"Rockbridge, Buena Vista + Lexington, VA*",1473567.0,virginia,lexington,
51680,lynchburg city,virginia,Virginia,Lynchburg City,59097.41935004201,134501.0,51911,"Campbell + Lynchburg, VA*",7948662.0,virginia,lynchburg,
51683,manassas city,virginia,Virginia,Manassas City,45415.32612251049,544182.0,51942,"Prince William, Manassas + Manassas Park, VA*",24714203.0,virginia,manassas,
51685,manassas park city,virginia,Virginia,Manassas Park City,45415.32612251049,544182.0,51942,"Prince William, Manassas + Manassas Park, VA*",24714203.0,virginia,manassas park,
51690,martinsville city,virginia,Virginia,Martinsville City,42254.74790245432,63765.0,51929,"Henry + Martinsville, VA*",2694374.0,virginia,martinsville,
51720,norton city,virginia,Virginia,Norton City,41447.15488515249,39313.0,51955,"Wise + Norton, VA*",1629412.0,virginia,norton,
51730,petersburg city,virginia,Virginia,Petersburg City,40995.74195493255,79614.0,51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",3263835.0,virginia,petersburg,
51735,poquoson city,virginia,Virginia,Poquoson City,37195.76231599372,83489.0,51958,"York + Poquoson, VA*",3105437.0,virginia,poquoson,
51750,radford,virginia,Virginia,Radford,52669.71958389869,114972.0,51933,"Montgomery + Radford, VA*",6055543.0,virginia,radford,
51775,salem city,virginia,Virginia,Salem City,55451.17331627885,121962.0,51944,"Roanoke + Salem, VA*",6762936.0,virginia,salem,
51790,staunton city,virginia,Virginia,Staunton City,46639.05099623134,125774.0,51907,"Augusta, Staunton + Waynesboro, VA*",5865980.0,virginia,staunton,
51820,waynesboro city,virginia,Virginia,Waynesboro City,46639.05099623134,125774.0,51907,"Augusta, Staunton + Waynesboro, VA*",5865980.0,virginia,waynesboro,
51830,williamsburg city,virginia,Virginia,Williamsburg City,68003.41461370874,95472.0,51931,"James City + Williamsburg, VA*",6492422.0,virginia,williamsburg,
51840,winchester city,virginia,Virginia,Winchester City,65114.334484994215,121853.0,51921,"Frederick + Winchester, VA*",7934377.0,virginia,winchester,
02020,anchorage,alaska,Alaska,Anchorage,86186.17525275839,288121.0,02020,"Anchorage Municipality, AK",24832047.0,alaska,anchorage,
02068,denali,alaska,Alaska,Denali,179721.28060263654,1593.0,02068,"Denali Borough, AK",286296.0,alaska,denali,
02150,kodiak island,alaska,Alaska,Kodiak Island,66345.42895127865,12787.0,02150,"Kodiak Island Borough, AK",848359.0,alaska,kodiak island,
02240,southeast fairbanks,alaska,Alaska,Southeast Fairbanks,109063.41463414632,6970.0,02240,"Southeast Fairbanks Census Area, AK",760172.0,alaska,southeast fairbanks,
04015,mohave,arizona,Arizona,Mohave,32329.64463554012,217692.0,04015,"Mohave, AZ",7037905.0,arizona,mohave,
15001,hawaii,hawaii,Hawaii,Hawaii,45276.42356559195,202906.0,15001,"Hawaii, HI",9186858.0,hawaii,hawaii,
15003,honolulu,hawaii,Hawaii,Honolulu,67323.40117295607,1000890.0,15003,"Honolulu, HI",67383319.0,hawaii,honolulu,
15009,maui,hawaii,,,63030.00553854768,164303.0,15901,"Maui + Kalawao, HI*",10356019.0,hawaii,maui,Used combined Maui + Kalawao BEA area
17037,dekalb,illinois,Illinois,Dekalb,49844.52367199793,100414.0,17037,"DeKalb, IL",5005088.0,illinois,dekalb,
17099,lasalle,illinois,Illinois,Lasalle,59192.08002569633,108965.0,17099,"LaSalle, IL",6449865.0,illinois,lasalle,
19141,o'brien,iowa,Iowa,O'Brien,71293.47128077061,14015.0,19141,"O'Brien, IA",999178.0,iowa,obrien,
72103,naguabo,puerto rico,,,,,,,,puerto rico,naguabo,
72133,santa isabel,puerto rico,,,,,,,,puerto rico,santa isabel,
55039,fond du lac,wisconsin,Wisconsin,Fond Du Lac,55746.24863456047,104362.0,55039,"Fond du Lac, WI",5817790.0,wisconsin,fond du lac,
39141,ross,ohio,Ohio,Ross,42577.85696635497,76891.0,39141,"Ross, OH",3273854.0,ohio,ross,
18111,newton,indiana,Indiana,Newton,30588.716685979143,13808.0,18111,"Newton, IN",422369.0,indiana,newton,
19107,keokuk,iowa,Iowa,Keokuk,38497.27657857575,9914.0,19107,"Keokuk, IA",381662.0,iowa,keokuk,
20075,hamilton,kansas,Kansas,Hamilton,88691.62640901771,2484.0,20075,"Hamilton, KS",220310.0,kansas,hamilton,
