state_abbrev,state_name,project_count,total_capacity_mw,avg_capacity_mw
CA,California,813,15430.2,18.979335793357933
TX,Texas,115,8957.0,77.88695652173914
NC,North Carolina,709,5843.8,8.24231311706629
FL,Florida,105,4958.1,47.220000000000006
GA,Georgia,105,3051.8,29.064761904761905
NV,Nevada,75,2983.6,39.78133333333333
AZ,Arizona,108,2779.0,25.73148148148148
VA,Virginia,66,2267.1,34.35
UT,Utah,37,1458.0,39.4054054054054
MA,Massachusetts,482,1287.3,2.670746887966805
NY,New York,394,1247.9,3.1672588832487314
SC,South Carolina,97,1145.6,11.810309278350514
MN,Minnesota,611,1122.9,1.837806873977087
CO,Colorado,125,1107.5,8.86
NJ,New Jersey,275,1050.5,3.82
NM,New Mexico,74,741.0,10.013513513513514
OR,Oregon,108,729.2,6.751851851851852
IL,Illinois,138,699.8,5.071014492753623
IN,Indiana,85,612.0,7.2
WI,Wisconsin,53,544.6,10.275471698113208
OH,Ohio,36,481.40000000000003,13.372222222222224
AL,Alabama,8,453.9,56.7375
MD,Maryland,130,448.6,3.450769230769231
MI,Michigan,37,352.6,9.52972972972973
HI,Hawaii,23,281.2,12.226086956521739
ME,Maine,31,264.9,8.54516129032258
CT,Connecticut,66,263.8,3.996969696969697
AR,Arkansas,33,245.4,7.4363636363636365
ID,Idaho,10,242.0,24.2
RI,Rhode Island,55,240.4,4.370909090909091
MS,Mississippi,8,219.3,27.4125
TN,Tennessee,19,191.3,10.06842105263158
PA,Pennsylvania,39,182.7,4.684615384615384
IA,Iowa,11,144.1,13.1
VT,Vermont,49,142.8,2.9142857142857146
WY,Wyoming,1,92.0,92.0
MO,Missouri,25,79.8,3.1919999999999997
LA,Louisiana,5,74.5,14.9
KS,Kansas,23,51.7,2.247826086956522
OK,Oklahoma,11,43.5,3.9545454545454546
DE,Delaware,11,37.6,3.4181818181818184
NE,Nebraska,11,31.8,2.890909090909091
KY,Kentucky,7,31.4,4.485714285714286
WA,Washington,2,22.4,11.2
MT,Montana,7,19.0,2.7142857142857144
DC,District of Columbia,8,18.0,2.25
NH,New Hampshire,1,2.4,2.4
SD,South Dakota,1,1.0,1.0
