region,candidate_site_count,total_candidate_mw,avg_candidate_mw,avg_lcoe,min_lcoe,max_lcoe,avg_interconnect_capex_mw
SD1,843,102142.8,121.16583,28.770176,25.61403,38.9917,198487.05
CA1,370,20922.459,56.547188,29.97319,24.778572,37.38184,353066.62
AZ1,3614,393778.03,108.95905,30.216728,22.663147,37.26477,415780.9
NE1,507,61310.35,120.92771,30.963366,26.97357,33.39006,310497.1
WY2,5026,611533.2,121.673935,31.196627,25.590078,41.661346,314129.22
TX1,10317,1.1720936e+06,113.60799,31.71875,22.936644,42.32865,486609.22
NM1,12072,1.3866839e+06,114.86778,32.40179,22.62078,47.78794,544113.2
MT3,3316,408710.53,123.25408,32.963913,25.974783,41.182064,336962.56
MT4,248,33069.793,133.34593,33.085537,30.139748,36.668076,330072.47
WY1,2521,293850.56,116.56111,33.587605,25.05742,42.54478,467688.12
MT1,4187,494729.94,118.15857,33.669895,27.719963,44.85904,392484.94
AZ2,3202,320361.12,100.05032,33.681602,22.86842,47.407833,604939.94
MT2,431,49955.46,115.905945,33.886772,29.257883,41.95125,314425.25
NV1,7215,707691.8,98.08618,35.68762,22.628979,52.543262,703749.94
CO1,3363,354001.2,105.26351,36.77869,24.155378,43.74723,699576.9
ID1,3856,383095.97,99.35062,37.139988,26.5781,45.042713,707030.44
CA2,2397,225087.95,93.90403,37.784485,25.954456,52.495205,794536.0
UT1,5650,501663.44,88.789986,38.91246,23.977098,49.197147,785386.0
WA1,493,29311.068,59.4545,39.75254,28.586197,51.92592,420588.53
OR1,636,67968.164,106.86818,39.999687,28.39043,59.135193,671706.7
