state_abbrev,state_name,candidate_site_count,total_candidate_mw,avg_lcoe,min_lcoe
NE,Nebraska,3,351.63483,28.522684,26.97357
SD,South Dakota,799,95487.836,28.68764,25.61403
NM,New Mexico,13899,1.5275719e+06,30.999367,22.62078
MT,Montana,5030,637731.8,31.147667,25.974783
AZ,Arizona,6935,738765.56,31.78108,22.663147
TX,Texas,7540,949359.75,32.857624,22.936644
CA,California,1683,116060.84,33.421646,24.778572
WY,Wyoming,11960,1.4098446e+06,33.65641,25.05742
ID,Idaho,32,2658.237,35.62982,26.5781
KS,Kansas,1,70.875,35.834446,35.834446
NV,Nevada,11445,1.166087e+06,37.01179,22.628979
ND,North Dakota,1463,171420.45,37.11905,33.671413
CO,Colorado,5127,487067.34,38.093193,24.155378
UT,Utah,3205,217283.8,38.538723,24.522263
WA,Washington,595,43238.137,39.312237,28.586197
OR,Oregon,526,53499.895,40.300793,28.39043
,,21,1461.6349,44.89079,32.110645
